article;name;hex;brand
76.115;76.115;#854a2c;Vallejo
76.114;76.114;#8c69a3;Vallejo
AK11406;AK11406;#3a221f;AK
AK16014;AK16014;#103c6d;AK
AK16001;AK16001;#2b130f;AK
AK16004;AK16004;#170537;AK
AK16007;AK16007;#1c331f;AK
AK16008;AK16008;#00843b;AK
AK16009;AK16009;#c72520;AK
AK16010;AK16010;#5a2418;AK
AK16012;AK16012;#ea5b0c;AK
AK11002;AK11002;#ebebe1;AK
AK11006;AK11006;#e2d9b8;AK
AK11007;AK11007;#c1b897;AK
AK11021;AK11021;#787c78;AK
Army Green;Army Green;#5e733b;WarPaints
72.415;72.415;#617b3c;Vallejo
72.406;72.406;#a8302f;Vallejo
72.469;72.469;#504f44;Vallejo
72.466;72.466;#184c31;Vallejo
72.464;72.464;#004a6c;Vallejo
72.465;72.465;#006b33;Vallejo
72.468;72.468;#425843;Vallejo
72.459;72.459;#c16498;Vallejo
72.461;72.461;#44245d;Vallejo
72.463;72.463;#3c556d;Vallejo
72.462;72.462;#50757d;Vallejo
HMS-03;HMS-03;#e4af8a;MR.HOBBY
N-72;N-72;#867a54;MR.HOBBY
N-84;N-84;#473126;MR.HOBBY
N-18;N-18;#2c2a29;MR.HOBBY
N-73;N-73;#8c8366;MR.HOBBY
N-85;N-85;#c6b78e;MR.HOBBY
N-36;N-36;#2e3d26;MR.HOBBY
N-68;N-68;#586061;MR.HOBBY
N-14;N-14;#e3532d;MR.HOBBY
N-27;N-27;#dbbe99;MR.HOBBY
N-44;N-44;#ddbba1;MR.HOBBY
H-513;H-513;#46464e;MR.HOBBY
N-57;N-57;#afbebd;MR.HOBBY
N-78;N-78;#3c392d;MR.HOBBY
N-16;N-16;#669b46;MR.HOBBY
N-83;N-83;#5b5b5b;MR.HOBBY
H-515;H-515;#55757a;MR.HOBBY
N-89;N-89;#17946c;MR.HOBBY
